date,open,high,low,close,volume
2016-02-19,3047.9417,3065.9677,3032.6336,3051.585,8733801200.0
2016-02-22,3083.9325,3128.2069,3071.3289,3118.8675,14094696800.0
2016-02-23,3117.2027,3119.2209,3061.4294,3089.3632,11256739100.0
2016-02-24,3077.6062,3109.5454,3055.2511,3109.5454,11178265000.0
2016-02-25,3104.4097,3104.4357,2905.4565,2918.7501,15782975200.0
2016-02-26,2942.0954,2964.3851,2902.948,2948.0306,10694972900.0
2016-02-29,2939.5802,2939.8745,2821.2149,2877.4666,12934102000.0
2016-03-01,2881.3353,2950.4361,2863.3228,2930.6937,11604591800.0
2016-03-02,2933.9209,3054.7237,2933.1162,3051.3327,17597234700.0
2016-03-03,3050.3886,3078.4437,3040.2463,3058.4219,17310574400.0
2016-03-04,3047.5371,3101.6556,3032.4235,3093.8895,21917253400.0
2016-03-07,3108.9994,3130.9032,3083.5843,3104.8397,13246203700.0
2016-03-08,3100.1492,3109.2499,3001.8285,3107.6727,13623574200.0
2016-03-09,3045.9238,3072.9156,3020.1335,3071.907,11146624500.0
2016-03-10,3056.2104,3074.1602,3012.6908,3013.1457,7607219700.0
2016-03-11,2990.2135,3026.4368,2982.1722,3018.2844,7333356400.0
2016-03-14,3039.5689,3106.8002,3033.9997,3065.6904,11710865500.0
2016-03-15,3061.3427,3077.0846,3028.5781,3074.7796,9831194100.0
2016-03-16,3068.8664,3100.3518,3064.5209,3090.0328,12473644800.0
2016-03-17,3096.8076,3147.8413,3077.5717,3124.2039,12166177700.0
2016-03-18,3136.2234,3197.6683,3130.1021,3171.963,19730256400.0
2016-03-21,3203.2929,3267.7751,3198.3608,3249.4372,23326946400.0
2016-03-22,3231.6146,3249.6772,3218.7276,3225.7903,16102089700.0
2016-03-23,3217.7288,3242.2466,3202.9759,3236.0924,12567928600.0
2016-03-24,3211.496,3221.9061,3181.8128,3181.8507,13313112200.0
2016-03-25,3176.8101,3204.4423,3174.3179,3197.8169,9739533000.0
2016-03-28,3206.9532,3229.6237,3161.8782,3169.7283,10344193300.0
2016-03-29,3171.3138,3178.0748,3122.7605,3135.4098,9729474700.0
2016-03-30,3161.2886,3216.6755,3161.2886,3216.2753,11780251200.0
2016-03-31,3229.1995,3241.9268,3208.6649,3218.0879,12155207400.0
2016-04-01,3213.674,3222.6124,3165.8555,3221.8948,11812213900.0
2016-04-05,3211.3046,3271.9301,3205.2065,3264.4858,14604777200.0
2016-04-06,3250.5215,3267.64,3236.1961,3257.5276,12019630500.0
2016-04-07,3266.2883,3270.8202,3208.6443,3209.2902,11240946700.0
2016-04-08,3189.8456,3197.7736,3163.305,3185.7258,10100562500.0
2016-04-11,3213.507,3251.5717,3213.507,3230.0957,12521270900.0
2016-04-12,3227.3673,3232.2642,3198.9027,3218.4497,9286943700.0
2016-04-13,3237.8575,3296.5228,3237.8575,3261.3831,19561386600.0
2016-04-14,3277.0982,3286.0716,3252.0499,3275.8321,11315732700.0
2016-04-15,3279.8566,3282.9846,3261.7299,3272.2053,9980752900.0
2016-04-18,3252.6706,3252.6706,3221.6623,3228.4531,9709006900.0
2016-04-19,3243.9712,3250.7253,3221.5773,3238.3029,8087144000.0
2016-04-20,3244.1419,3248.4218,3107.3693,3181.0264,16220785800.0
2016-04-21,3160.7958,3198.557,3150.9395,3160.6033,10475265100.0
2016-04-22,3142.5611,3175.3799,3137.9927,3174.9012,7707849200.0
2016-04-25,3164.7384,3172.2694,3137.113,3162.0331,6751935100.0
2016-04-26,3159.7706,3181.0954,3150.4041,3179.1605,5902073400.0
2016-04-27,3181.9305,3188.8264,3162.6914,3165.9156,6000414700.0
2016-04-28,3169.3333,3174.7662,3135.6425,3160.5809,6987066000.0
2016-04-29,3153.5371,3171.2887,3149.3966,3156.7451,5802977600.0
2016-05-03,3159.823,3218.485,3151.4045,3213.5397,9816483500.0
2016-05-04,3203.4653,3222.8816,3198.2919,3209.4614,9086240800.0
2016-05-05,3204.1686,3217.282,3196.5661,3213.9199,7473368100.0
2016-05-06,3213.1358,3216.893,3130.1469,3130.3544,10868024000.0
2016-05-09,3115.4301,3115.4301,3055.0057,3065.6154,9923047700.0
2016-05-10,3055.2119,3084.7245,3055.1831,3069.1124,6884993500.0
